init,family,rho,t,excess_kurtosis,invariant_iters,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_cosine_median,score_max_abs_median
invariant,student_t_nu8,0.95,0.1,1.5,162,7.438176769689042e-05,0.013358744698398138,0.0018533580890919272,0.02211308863544535,0.9998356578430998,0.12128592977829511
invariant,student_t_nu8,0.95,0.2,1.5,162,5.201446592537075e-05,0.012190146762979269,0.0003207903305765808,0.012030035968558929,0.9999480737988449,0.039663002672574166
invariant,student_t_nu8,0.95,0.4,1.5,162,3.04477633120199e-05,0.0064419679483523114,4.511649377968203e-05,0.00607207383175125,0.9999828242263058,0.014837637295449957
invariant,student_t_nu8,0.95,0.8,1.5,162,1.4364237832752261e-05,0.006249070232065965,4.552951300979732e-06,0.002159527592852724,0.9999979672726802,0.004298852493673511
invariant,student_t_nu8,0.95,1.6,1.5,162,4.318375016540296e-06,0.004947927634431365,1.9130461519791934e-07,0.0004185868301784894,0.999999919460206,0.000751061910877926
invariant,student_t_nu8,0.95,2.4,1.5,162,2.1539313915362745e-07,0.0018197614161263773,1.8021718290935036e-09,4.385796570828121e-05,0.9999999990416288,6.472023139481031e-05
invariant,gauss_mix_kappa0.3,0.95,0.02,-0.18,117,8.865637880697858e-06,0.005283199955214653,0.0055402849313799,0.027604198610169918,0.9996346633933346,0.2287625965093265
invariant,gauss_mix_kappa0.3,0.95,0.05,-0.18,117,5.961358751157834e-06,0.003351753578489715,0.0005956393435112709,0.011052175836015345,0.9999458038947372,0.06646397245512925
invariant,gauss_mix_kappa0.3,0.95,0.1,-0.18,117,4.041463624206862e-06,0.002216292311080694,0.00010070047447941602,0.0053071612762494984,0.9999862551760776,0.026231023697573796
invariant,gauss_mix_kappa0.3,0.95,0.2,-0.18,117,1.9353819205864735e-06,0.001926022902773744,1.1936137285109486e-05,0.0023343982368551333,0.9999976027212851,0.008858860841320482
invariant,gauss_mix_kappa0.3,0.95,0.4,-0.18,117,8.425887729759936e-07,0.001765833958741781,1.24852031806867e-06,0.0009188683237707428,0.9999996345601171,0.0026324658673334556
invariant,gauss_mix_kappa0.3,0.95,0.8,-0.18,117,3.1881375820912424e-07,0.0014640898862854912,1.0105259548811707e-07,0.00032919977310452405,0.9999999518983442,0.0006222794240609147
invariant,gauss_mix_kappa0.3,0.95,1.6,-0.18,117,7.307750676428202e-08,0.0005171261715831348,3.237343736387948e-09,6.13609232204377e-05,0.9999999982165975,9.93587384127137e-05
invariant,gauss_mix_kappa0.3,0.95,2.4,-0.18,117,2.418822529111069e-09,0.0002656577693701652,2.0238034687086882e-11,4.402960378217606e-06,0.9999999999905878,7.606191600895151e-06
invariant,gauss_mix_kappa0.6,0.95,0.02,-0.72,124,0.00028383117105009554,0.015903565595072267,0.17737083120080946,0.13009655205673332,0.993199062447819,1.120211199948034
invariant,gauss_mix_kappa0.6,0.95,0.05,-0.72,124,0.00017581274334979406,0.017139878984679034,0.017566630595658647,0.053563128573268684,0.9985837731887797,0.3266491771048914
invariant,gauss_mix_kappa0.6,0.95,0.1,-0.72,124,7.389262931063566e-05,0.012864570547564808,0.0018411703095739026,0.023716869299557988,0.9997191039102946,0.1309703915053626
invariant,gauss_mix_kappa0.6,0.95,0.2,-0.72,124,2.6599647577721207e-05,0.007688460744106104,0.00016404878119714975,0.00890508682251259,0.9999656871618305,0.030164348670129293
invariant,gauss_mix_kappa0.6,0.95,0.4,-0.72,124,1.4775563026675436e-05,0.006022338788704626,2.1893943097000432e-05,0.00408664353668705,0.9999925260246517,0.010408562328949267
invariant,gauss_mix_kappa0.6,0.95,0.8,-0.72,124,4.502689908778408e-06,0.0031954575730441244,1.4271921780170765e-06,0.0011762653872681938,0.999999372115999,0.0026974148884195692
